created_at,tweet,sentiment,likes,retweets,cleansing
23-Jan,"Hallo, sobat Nedutase Lepas Sambut Kepala SMK Negeri 2 Kota Tangerang Selatan Terima kasih Ibu Hj. Dwi Novi Hardani S.Pd Dan selamat datang Bpk. Akhmad Basuni, S.Pd.I, MA.Pd",Netral,,,hallo sobat nedutase lepas sambut kepala smk negeri kota tangerang selatan terima kasih hj dwi novi hardani spd selamat bpk akhmad basuni spdi mapd
23-Jan,Shin Tae-yong selaku pelatih kepala Timnas Indonesia didampingi Ricky Kambuaya mengikuti Pre Match Press Conference jelang laga kontra Filipina dalam gelaran Piala AFF 2022 pada Minggu (1/1)...,Netral,1837302,159,shin taeyong latih kepala timnas indonesia damping ricky kambuaya ikut pre match press conference jelang laga kontra filipina gelar piala aff minggu
23-Jan,SUZUKI XL 7 Jawabannya! Tampilan eksterior Suzuki XL7 tampil lebih gagah. Grill hadir dengan tambahan nuansa chrome membuatnya lebih mewah. Desain bumper dan foglamp kini terlihat menonjolkan...,Positif,140,72,suzuki xl jawab tampil eksterior suzuki xl tampil gagah grill hadir tambah nuansa chrome buat mewah desain bumper foglamp tonjol
23-Jan,Baru saja mengirim foto @ TOYOTA PERINTIS GATSU MEDANTranslate post,Netral,642,1,kirim foto toyota rintis gatsu medantranslate post
23-Jan,DIJUAL BMW E30 318i Mesin M10 Plat R Pajak On Bodi mulus ( selesai restorasi ) Mesin sehat kering Lantai tidak keropos ( selesai restorasi ) Minus : Jok sobek Kancing laci dasboard lepas Lokasi...,Netral,154655,402,jual bmw mesin plat pajak on bodi mulus selesai restorasi mesin sehat kering lantai keropos selesai restorasi minus jok sobek kancing laci dasboard lepas lokasi
23-Jan,"Semifinal AFF Mitsubishi Electric Cup 2022 Timnas Indonesia akan menghadapi Vietnam, Indonesia menjadi tuan rumah terlebih dahulu. Duel Shin Tae Yong vs Park Hang Seo akan kembali tersaji ??...",Netral,7627,30,semifinal aff mitsubishi electric cup timnas indonesia hadap vietnam indonesia tuan rumah duel shin tae yong vs park hang seo saji
23-Jan,"Hari Perlawanan 5 | Selasa, 3 Januari 2023 Kumpulan B • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? SINGAPURA ? 8.30 malam ini ? Stadium Nasional, Bukit...",Netral,183527,63,lawan selasa januari kumpul piala mitsubishi electric aff malaysia singapura malam stadium nasional bukit
23-Jan,"Terima kasih kepada 65,147 orang penyokong yang hadir menyaksikan aksi terakhir Kumpulan B, Piala Mitsubishi Electric AFF 2022, Malaysia lwn Singapura di Stadium Nasional, Bukit Jalil, malam...",Positif,183618,63,terima kasih orang sokong hadir saksi aksi kumpul piala mitsubishi electric aff malaysia lwn singapura stadium nasional bukit jalil malam
23-Jan,"? Pasukan kebangsaan ?? akan bertemu Thailand ?? pada aksi timbal balik peringkat separuh akhir Piala Mitsubishi Electric AFF 2022! Selamat berjuang, Harimau Malaya! ? #AFFMitsubi...",Positif,126569,44,pasu bangsa temu thailand aksi timbal peringkat paruh piala mitsubishi electric aff selamat juang harimau malaya affmitsubi
23-Jan,For Sale Toyota Crown Lele... Custom 2 pintu.. Kondisi rapi mulus... SS komplit... Mesin lari Interior top.. Penasaran bisa langsung di WhatsApp aja info lengkap dan harga : 082213701648Translate post,Positif,154264,403,for sale toyota crown lele custom pintu kondisi rapi mulus ss komplit mesin lari interior top penasaran langsung whatsapp info lengkap harga translate post
23-Jan,Evergreen bagi 52 bulan bonus. Hyundai Oilbank bagi 120 bulan bonus. Korang berapa bulan bonus dapat? Aku air soya bonus pun tak dapat. bercukur la.Translate post,Positif,19559,181,evergreen bonus hyundai oilbank bonus korang bonus air soya bonus cukur latranslate post
23-Jan,CAP BAGASI ERTIGA 2019 BERANGKAT KE BENGKEL MOBIL DI KOTA GRESIK JAWA TIMUR https://youtu.be/VKtl6RlsMcQ lewat @YouTubeTranslate post,Netral,160,365,cap bagasi ertiga berangkat bengkel mobil kota gresik jawa timur youtubetranslate post
23-Feb,"QS. Maryam ayat 4: Dan aku belum pernah kecewa dalam berdoa kepada-Mu, ya Tuhanku.",Positif,,,qs maryam ayat kecewa doa kepada tuhan
23-Jan,Civic Genio 1993 1.6CC Surat lengkap Plat 2026 Matic responsif Cat siram Okt 2021 Kaki2 baru d/b Bushing semua baru Oct 22 Ban baru Sept 22 Knalpot racing HKS AC dingin evaporator baru satu...,Positif,154076,403,civic genio cc surat lengkap plat matic responsif cat siram okt kaki db bushing oct ban sept knalpot racing hks ac dingin evaporator
23-Jan,"Keputusan Masa Penuh Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 MALAYSIA ?? 1-0 ?? THAILAND ⚽️ Faisal Halim 11' ▶️ Separuh Akhir 2 di Bangkok...",Netral,183753,63,putus penuh paruh piala mitsubishi electric aff sabtu januari malaysia thailand faisal halim paruh bangkok
23-Jan,"Sempena kehangatan Piala AFF Mitsubishi Electric 2022, saya kongsikan bebenang sejarah nama #HarimauMalaya yang menjadi gelaran pasukan kebangsaan. Terdapat tiga cerita di sebalik nama asal...",Netral,5470,1895,sempena hangat piala aff mitsubishi electric kongsi bebenang sejarah nama harimaumalaya gelar pasu bangsa cerita balik nama
23-Jan,"Hari Perlawanan | Sabtu, 7 Januari 2023 Separuh Akhir 1 • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam ini ? Stadium Nasional,...",Netral,183766,63,lawan sabtu januari paruh piala mitsubishi electric aff malaysia thailand malam stadium nasional
