id_,created_at,tweetID,tweet,username,id_str,name,entity,commentcount,likes,retweets,quotes,replies,sentiment,bidang,gender,link,imageUrl
1361,March-14,4.44405E+17,"Semoga Allah senantiasa melindungi dan kesuksesan selalu bersama mba Luna,amien",FirmanGrp,1133255526,firman,Mitsubishi,0,NULL,NULL,NULL,0,NULL,NULL,NULL,https://mobile.twitter.com/FirmanGrp,undefined:large
866,June-14,4.81111E+17,Kawasaki Ninja 250 Fi 2013 Akhir (desember) http://olx.co.id/iklan/kawasaki-ninja-250-fi-2013-akhir-desember-58501239.html… via @OLX_Indonesia,asri_ayuk,156891897,Learning By Doing,Daihatsu,0,NULL,NULL,NULL,211,NULL,NULL,NULL,https://twitter.com/asri_ayuk,https://pbs.twimg.com/profile_images/839353038322094082/v9fBz6Ls_200x200.jpg
849,July-14,4.91037E+17,Selamat pagiii,Ugi888,582014851,Ugi Suzuki,Suzuki,0,NULL,NULL,NULL,0,NULL,NULL,NULL,https://twitter.com/Ugi888,https://pbs.twimg.com/profile_images/378800000696260106/e843e8d15bac0eb4b787ffc0b09bf2e2_200x200.jpeg
420,November-15,6.68259E+17,"@kotaindramayu Launching All New INNOVA 24 nov 2015 undangan&promo 081313267777 (WA,LINE) http://toyotaindramayu.com",Syaeful_Toyota,212546550,asep syaefullah,Toyota,0,NULL,NULL,NULL,3,NULL,NULL,NULL,https://twitter.com/syaeful_toyota,https://pbs.twimg.com/profile_images/657944027757608961/jEcjfuDg_200x200.jpg
360,February-16,6.9581E+17,Mobil Bekas: Jual BMW 320i E90 Tahun 2008 http://goo.gl/k22HGQ,jualsewamobil,464001136,mobil bekas,Suzuki,0,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/jualsewamobil,undefined:large
1262,May-16,7.267E+17,Mampukah Film Para Youtubers Ini Saingi Civil War dan AADC 2? http://bit.ly/1NLlfBB,WartainCom,4760526727,Wartain,Honda,0,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/WartainCom,https://pbs.twimg.com/profile_images/687797815636955136/bWHXG1UJ_200x200.png
1104,September-16,7.7344E+17,Silahkan yang sedang mencari penawaran terbaik untuk mobil HONDA bisa langsung menghubungi.. WA atau tlp.,akhdiyatul,121729830,aein,Honda,0,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/akhdiyatul,https://pbs.twimg.com/media/CrvPxgIXgAE9LOC.jpg:large
440,August-17,8.92875E+17,opik tenang bikin nangis tenan edited by saptuari: http://youtu.be/YLZo4yygK-k?a melalui @YouTube,rahmat_priono,1547229594,rahmat priono,Toyota,0,NULL,NULL,NULL,0,NULL,NULL,NULL,https://mobile.twitter.com/rahmat_priono,https://pbs.twimg.com/profile_images/785674942859796481/04qfXuQd_200x200.jpg
631,November-18,1.05857E+18,Nemu ini di ig ??,tayya_aia,7.26764E+17,Aia,Honda,128,NULL,NULL,NULL,128,NULL,NULL,NULL,https://twitter.com/tayya_aia,https://pbs.twimg.com/profile_images/1384877044857671680/c5fdBtCO_200x200.jpg
560,November-18,1.06295E+18,"Disetiap zaman itu selalu saja akan lahir pengkhianat-pengkhianat, hanya orang berjiwa patriot yg bisa membuatnya tak berkutik",Romy_damara,1.04086E+18,Romy,Mitsubishi,1,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/Romy_damara,https://pbs.twimg.com/profile_images/1725385933921652736/vXio7jLJ_200x200.jpg
257,December-18,1.06878E+18,"Hidup kadang kayak Angrybird, kalo gagal ada aja babi yang ketawa. #recehkantwitter",FikaKristanti,9.60884E+17,-ordinarygurl-,Daihatsu,7,NULL,NULL,NULL,7,NULL,NULL,NULL,https://twitter.com/FikaKristanti,https://pbs.twimg.com/profile_images/1660881564337836032/19ibzzyb_200x200.jpg
861,January-19,1.08912E+18,Dunia ini memang menakutkan. Apalagi jika hidup tanpa uang. Tapi sungguh akan jauh lebih menakutkan. Jika hidup tanpa iman. #Refleksi,bang_rid,158358269,Rido Galih Alief,Mitsubishi,1,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/bang_rid,https://pbs.twimg.com/profile_images/1528699291639762944/RhoTyd0d_200x200.jpg
1946,April-19,1.11674E+18,"kita lebih harus sering buka KBBI. kata “terlanjur” harusnya “telanjur”, kata “terimakasih” harusnya diucapkan, ora meneng wae",PutraNdole,515173889,Jesus of Suburbia,Toyota,1,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/PutraNdole,https://pbs.twimg.com/profile_images/1260232545523785728/Tl8hAO8v_200x200.jpg
943,June-19,1.13505E+18,"Juara? Yah, akhirnya 6x trophy liga champion mendarat di Anfield. Incredible, Thanks Mr. Klopp! #WeAreLiverpool #MakeUsDream",IrvanLubis58,90165571,Muhammad Irvan Lubis,Daihatsu,0,NULL,NULL,NULL,1,NULL,NULL,NULL,https://twitter.com/IrvanLubis58,https://pbs.twimg.com/profile_images/1658706902132609024/cDOCYeI8_200x200.jpg
757,June-19,1.14068E+18,"Instead of watching other people live, i want to live.",Janitraprn,34009013,Giovanni Janitra,Honda,0,NULL,NULL,NULL,1818,NULL,NULL,NULL,https://twitter.com/Janitraprn,https://pbs.twimg.com/profile_images/1041242420430614529/sU37xzlS_200x200.jpg
